;Go_score;Player_Load;cardioWorkload;date;exercises;giorni_dopo_game;giorni_prima_game;intensity;kinematicWorkload;mechanicalWorkload;metabolicWorkload;perceivedWorkload;playerName;rpe;workload;giorno;mese;Go_score+1
37;4.4;152.2547;0.0;2017-07-19;['Set-pieces', 'Session', 'Passing-drill clos'];-2.0;-2.0;30.067696567240052;11.96684348672674;16.57600980303343;3.261364468170245;20.62351056020831;Player1;2.0;0.7305542117321537;19;7;4.4
38;4.4;321.7572;0.0;2017-07-20;['Session', 'Reactive-shoots', '11vs1', 'Warm-up', 'Game-11vs11'];-2.0;-2.0;47.980547943061644;40.59892331300152;92.19033481667671;38.251649456753796;51.31916655554413;Player1;4.0;2.9837241777164976;20;7;4.6
39;4.6;214.3411;0.0;2017-07-21;['Session', 'Preparation-to-the', 'Warm-up', 'Set-pieces'];-2.0;-2.0;51.699795949791024;22.1704228196036;60.547669343728714;21.33796800275635;20.737780873457886;Player1;2.0;1.7753366485331237;21;7;4.4
42;4.4;225.7668;0.0;2017-07-24;['Session', 'Shifting-10vs10', 'Warm-up'];-2.0;-2.0;49.0853284134564;27.541670807189192;82.12834494917598;32.950440574095026;32.269119514992234;Player1;3.0;2.4533951326735766;24;7;4.4
43;4.4;340.0522;0.0;2017-07-25;['Shifting-10vs10', 'Warm-up', 'Game-11vs11 and se', 'Session'];-2.0;-2.0;51.988453314399;31.970858027272282;83.53703900837526;34.86695608137091;47.29286371587953;Player1;4.0;2.6754546616084496;25;7;4.4
44;4.4;265.862;0.0;2017-07-26;['Warm-up', 'Preparation-to the', 'Session', 'Set-pieces'];-2.0;-2.0;52.918622298999175;27.033579217453084;75.43868857276391;30.615362279756322;31.275690617160357;Player1;3.0;2.282717592309908;26;7;4.4
47;4.1;259.7995;0.0;2017-07-29;['Warm-up', 'Preparation-to the', 'Session'];-2.0;-2.0;68.17085053818975;29.290066730735052;88.92903663045128;35.33024719747701;40.612843376097324;Player1;4.0;2.699989696651325;29;7;4.1
50;4.1;245.38099999999997;0.0;2017-08-01;['Preparation-to the', 'Warm-up', 'Session'];2.0;2.0;61.3;25.9;41.9;34.5;30.6;Player1;3.0;1.7;1;8;4.4
51;4.4;259.6941;0.0;2017-08-02;['Preparation-to the', 'Warm-up', 'Session'];3.0;1.0;51.4;20.8;30.0;20.5;30.5;Player1;3.0;1.3;2;8;4.4
54;;278.6582;0.0;2017-08-05;['Set-pieces', 'Block-1', 'Session', 'Block-2', 'Warm-up'];-2.0;-2.0;36.161772652206785;21.064949337616145;39.019085427345054;15.028666270641825;34.30034041618545;Player1;3.0;1.4509900242427838;5;8;4.4
