playerName,date,wellness_fatigue,wellness_mood,wellness_sleep,wellness_soreness,wellness_stress
Player18,2018-04-24,5,5,5,5,5
Player13,2018-04-24,5,5,4,5,4
Player4,2018-04-24,4,3,5,3,3
Player1,2018-04-24,2,3,1,4,3
Player6,2018-04-24,3,5,3,4,3
Player24,2018-04-24,5,4,4,5,4
Player8,2018-04-24,4,4,5,4,5
Player21,2018-04-24,2,2,2,2,2
Player3,2018-04-24,3,2,2,2,3
Player22,2018-04-24,5,5,5,4,5
Player14,2018-04-24,4,5,3,5,5
Player27,2018-04-24,5,5,5,4,5
Player19,2018-04-24,3,4,4,3,4
Player29,2018-04-24,2,3,2,3,3
Player23,2018-04-24,5,5,5,3,5
Player32,2018-04-24,5,5,5,5,5
Player2,2018-04-24,3,5,3,2,4
Player5,2018-04-24,3,2,4,3,2
Player10,2018-04-24,3,4,3,3,4
Player11,2018-04-24,2,5,4,2,4
Player16,2018-04-24,3,3,3,4,4
Player25,2018-04-24,4,5,5,5,5
Player12,2018-04-24,5,5,5,4,5
Player28,2018-04-24,3,3,3,4,3
