playerName,date,wellness_fatigue,wellness_mood,wellness_sleep,wellness_soreness,wellness_stress
Player18,2018-02-12,2,5,3,2,4
Player26,2018-02-12,4,3,3,4,4
Player1,2018-02-12,2,5,2,5,3
Player6,2018-02-12,3,5,3,5,5
Player24,2018-02-12,5,4,4,4,5
Player8,2018-02-12,4,4,3,3,3
Player21,2018-02-12,3,3,3,3,3
Player3,2018-02-12,3,5,3,3,5
Player14,2018-02-12,2,5,3,3,5
Player4,2018-02-12,5,5,4,4,4
Player19,2018-02-12,2,5,4,4,5
Player23,2018-02-12,3,5,2,3,5
Player32,2018-02-12,4,5,5,5,5
Player2,2018-02-12,5,5,5,5,5
Player5,2018-02-12,3,4,3,2,4
Player10,2018-02-12,5,2,3,5,2
Player11,2018-02-12,3,5,4,3,5
Player16,2018-02-12,3,3,3,3,5
Player25,2018-02-12,5,5,5,3,5
Player29,2018-02-12,3,4,2,5,4
Player13,2018-02-12,4,5,5,5,4
