date,playerName,duration,rpe,workload,splitStartTime,splitName,splitEndTime,totalDistance,sprintDistance,powerPlays,powerDistance,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,intensity,highspeedRunningDistance,highPowerDistance,highIntensityDeceleration,highIntensityAcceleration,heartRateGr90,heartRate85to90,explosiveDistance,distancePerMinute,cardioWorkload,averageMetabolicPower,Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Date,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Distance (km),Distance Per Min (m/min),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Duration,Energy (kcal),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: > 20 G (Impacts),Impacts,Player Load,Player Name,Power Play Duration Zones: 0 - 2_5 s (Power Plays),Power Play Duration Zones: 2_5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7_5 s (Power Plays),Power Play Duration Zones: 7_5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Power Plays,Power Score (w/kg),Session Title,Split End Time,Split Name,Split Start Time,Sprint Distance (m),Tags,Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Top Speed (m/s),Work Ratio,dirty,gdType,rpeTl
2018-03-16 00:00:00.000,Player2,94.98333333333333,9.0,4.8,2018-03-16 20:47:26.592,game,2018-03-16 22:37:22.368,9.558,183.0,90,2376.0,112.5,92.6,100.2,71.8,88.9,748.853,1436.2,139,88,0,0,687.3470000000001,100.6286,0,8.5249,0,278,179,58,30,43175,0,233,166,74,65,9.558,100.6286,3.3456,1.047,0.2967,0.0702,0.0151,3.3099,1.033,0.3382,0.1335,0.08,1.7152,2.153,1.5156,0.9398,0.5179,0.292,0.1843,0.1102,0.0866,1.9094,0.2452,2.3844,5.441,1.095,0.5658,0.183,5699,1254.1412,0,0,891,15,0,14,597.8126,Bancu,0,50,27,11,2,90,8.5249,FC Viitorul,43175.94262,game,43175.86628,748.853, game,3144.9,462.3,120.5,30.1,7,2245.7,406.3,115.3,41.4,21.8,0,0,0,0,0,3699.3,778.1,429.6,229.2,116.6,64.2,39.1,24.7,18.9,1143.2,52.4,4234.4,2017.9,225.1,94,23.9,9.0579,34.3872,False,GD,854.85
2018-03-16 00:00:00.000,Player2,49.1,,1.6,2018-03-16 21:48:16.992,2nd.half,2018-03-16 22:37:22.368,4.2996,85.2,35,931.3999999999999,0.0,36.9,40.0,32.1,76.9,323.448,603.1000000000001,55,35,0,0,279.65200000000016,87.5677,0,7.3299,0,135,81,23,12,43175,0,111,81,31,24,4.2996,87.5677,1.5159,0.4485,0.1239,0.0271,0.0082,1.4853,0.4472,0.1595,0.0544,0.0295,0.9372,0.9767,0.5897,0.3283,0.2171,0.1326,0.0714,0.0386,0.0292,0.8646,0.1142,1.2388,2.3697,0.3677,0.2382,0.0852,2946,557.3239,0,0,380,7,0,6,284.2915,Bancu,0,22,11,2,0,35,7.3299,FC Viitorul,43175.94262,2nd.half,43175.90853,323.448, game,1243.5,205.8,51,11.6,3.3,1166.9,185.8,53.6,16.2,8,0,0,0,0,0,1689.4,355,170.2,83.2,49.1,28.2,14.9,8.3,6.3,516.8,24.3,1932.4,887.2,75.6,39.2,11.3,8.1645,28.5908,False,GD,0.0
2018-03-16 00:00:00.000,Player2,45.9,,2.3,2018-03-16 20:47:26.592,1st.half,2018-03-16 21:33:21.023,5.2585,97.8,55,1439.5,0.0,55.6,60.1,39.7,101.8,425.404,830.1,84,53,0,0,404.696,114.5635,0,9.8031,0,143,98,35,18,43175,0,122,85,43,41,5.2585,114.5635,1.7825,0.5913,0.1711,0.0431,0.0069,1.7768,0.579,0.1782,0.079,0.0505,0.7285,1.1724,0.9149,0.6094,0.3004,0.1583,0.1126,0.0705,0.0573,1.0031,0.131,1.0685,3.0432,0.7213,0.3276,0.0978,2754,696.8172,0,0,504,8,0,8,313.521,Bancu,0,28,16,9,2,55,9.8031,FC Viitorul,43175.89816,1st.half,43175.86628,425.404, game,1067.7,253.2,69,18.5,3.7,1023.8,217.5,61.4,25.2,13.8,0,0,0,0,0,1148.6,421.7,255.9,145.5,67.4,35.7,24.1,16.1,12.6,598.1,28.1,1420.4,1117.8,148.2,54.8,12.6,9.0579,40.5876,False,GD,0.0
2018-03-16 00:00:00.000,Player18,45.9,,2.4,2018-03-16 20:47:26.592,1st.half,2018-03-16 21:33:21.023,5.2456,153.9,51,1422.3000000000002,0.0,55.9,63.4,47.9,101.8,551.575,949.3999999999999,88,58,0,0,397.8249999999998,114.2832,0,9.8301,0,133,114,39,19,43175,0,109,104,56,32,5.2456,114.2832,1.7773,0.6104,0.1637,0.0431,0.0096,1.7111,0.5966,0.2146,0.0881,0.0312,0.7469,1.1675,0.9155,0.4729,0.3176,0.2291,0.1323,0.0916,0.0605,0.9934,0.1183,1.105,3.0241,0.5649,0.3977,0.1539,2754,718.1707,0,0,101,3,0,3,262.0522,Martic,0,28,17,5,1,51,9.8301,FC Viitorul,43175.89816,1st.half,43175.86628,551.575, game,1090.4,253.2,68.2,18.2,4.7,979.5,229.4,73.5,27.6,9.2,0,0,0,0,0,1159.6,420.1,257.5,116.5,68.1,46.6,28.4,19.3,13,598.2,26.6,1445.2,1106.5,116.4,64.9,20.9,7.9734,39.7436,False,GD,0.0
2018-03-16 00:00:00.000,Player18,49.1,,2.0,2018-03-16 21:48:16.992,2nd.half,2018-03-16 22:37:22.368,5.1411,98.6,43,1250.7,0.0,47.4,47.5,40.7,91.7,470.147,786.6999999999999,55,46,0,0,316.55299999999994,104.7061,0,8.7383,0,129,85,30,16,43175,0,93,93,36,19,5.1411,104.7061,1.9267,0.4732,0.1379,0.0384,0.0115,1.7553,0.529,0.1928,0.0542,0.0219,0.8771,0.9084,0.834,0.464,0.2826,0.1769,0.0939,0.0595,0.0391,1.2707,0.1347,1.3748,2.7339,0.5622,0.3715,0.0986,2946,682.8463,0,0,135,2,0,2,247.7941,Martic,0,22,16,4,1,43,8.7383,FC Viitorul,43175.94262,2nd.half,43175.90853,470.147, game,1240.6,205.6,53.1,15.6,5.1,1130.4,206.9,64.6,17.5,6.2,0,0,0,0,0,1321.3,329.7,228.8,111.5,59.4,36.2,19.3,12.6,8.6,788.9,29.3,1707.9,1047.8,115.8,61,13.1,9.1467,31.9799,False,GD,0.0
2018-03-16 00:00:00.000,Player18,94.98333333333333,9.0,5.2,2018-03-16 20:47:26.592,game,2018-03-16 22:37:22.368,10.3867,252.5,94,2682.0000000000005,112.5,103.4,110.8,88.3,96.6,1021.722,1736.1,143,104,0,0,714.3779999999999,109.3526,0,9.2658,0,262,199,69,35,43175,0,202,197,92,51,10.3867,109.3526,3.8528,1.0928,0.3016,0.0815,0.021,3.6306,1.1312,0.4082,0.1435,0.0531,1.8333,2.0876,1.763,0.9459,0.6002,0.406,0.2262,0.1511,0.0996,2.3506,0.253,2.728,5.8392,1.1276,0.7692,0.2525,5699,1401.0171,0,0,237,5,0,5,509.8463,Martic,0,50,33,9,2,94,9.2658,FC Viitorul,43175.94262,game,43175.86628,1021.722, game,3009.9,463.8,121.3,33.8,9.8,2316.7,440.5,138.7,45.5,15.4,0,0,0,0,0,3305.3,753.8,490,231.3,127.5,82.8,47.7,31.9,21.6,1447.6,55.9,4006.6,2196.6,232.3,125.9,34,9.1467,35.7312,False,GD,854.85
2018-03-16 00:00:00.000,Player32,45.9,,2.3,2018-03-16 20:47:26.592,1st.half,2018-03-16 21:33:21.023,5.8625,37.699999999999996,46,1342.9,0.0,48.2,69.4,39.6,111.8,273.665,727.4000000000001,79,69,0,0,453.73500000000007,127.7236,0,10.636,0,166,114,50,19,43175,0,162,96,57,22,5.8625,127.7236,2.0619,0.5979,0.151,0.0377,0.0074,2.095,0.6391,0.1884,0.0678,0.0163,0.5833,1.4958,1.175,0.6155,0.3093,0.16,0.0861,0.0611,0.0383,1.2655,0.0726,0.9874,3.8669,0.7345,0.236,0.0377,2754,724.5451,0,0,332,2,0,2,324.9609,Zlatinski,0,25,15,6,0,46,10.636,FC Viitorul,43175.89816,1st.half,43175.86628,273.665, game,1053.5,243.6,64.9,17.8,3.8,1042,238.4,62.9,22.4,4.6,0,0,0,0,0,826.2,532.3,322.4,150.6,72.8,38.3,21.2,15.5,9.2,747.3,18.1,1140.4,1417.1,151.7,39.4,5.3,7.3067,48.1753,False,GD,0.0
2018-03-16 00:00:00.000,Player32,94.98333333333333,7.0,4.9,2018-03-16 20:47:26.592,game,2018-03-16 22:37:22.368,11.288,52.2,87,2445.3,87.5,89.6,131.4,73.4,103.6,471.657,1350.8000000000002,144,131,0,0,879.1430000000003,118.8416,0,9.8337,0,304,218,102,29,43175,0,295,193,94,50,11.288,118.8416,4.1355,1.1538,0.2951,0.068,0.0101,4.313,1.1888,0.3534,0.1231,0.0411,1.5608,2.8157,2.1263,1.0945,0.5525,0.2923,0.1746,0.1244,0.0765,2.7335,0.1305,2.4882,7.4015,1.3205,0.4195,0.0522,5699,1386.4189,0,0,618,3,0,3,630.4564,Zlatinski,0,51,26,10,0,87,9.8337,FC Viitorul,43175.94262,game,43175.86628,471.657, game,2920.4,475.8,125,32.3,5.6,2410.4,452.3,120.7,40.6,12.3,0,0,0,0,0,2772.3,1005.3,585,268.7,132.6,71.7,42.8,30.5,18.3,1635,33.2,3486.3,2759.3,272.4,70.1,7.3,7.3867,43.2617,False,GD,664.8833333333333
2018-03-16 00:00:00.000,Player32,49.1,,2.0,2018-03-16 21:48:16.992,2nd.half,2018-03-16 22:37:22.368,5.4255,14.5,41,1101.0000000000002,0.0,41.4,62.0,34.0,96.0,197.992,622.7000000000002,65,62,0,0,424.7080000000002,110.4981,0,9.0835,0,138,104,52,10,43175,0,133,97,37,28,5.4255,110.4981,1.8994,0.5515,0.144,0.0303,0.0027,2.0053,0.5472,0.165,0.0553,0.0248,0.7778,1.2886,0.942,0.4783,0.2429,0.1317,0.0885,0.0634,0.0382,1.3161,0.058,1.2368,3.4046,0.5861,0.1835,0.0145,2946,661.8739,0,0,284,1,0,1,305.4955,Zlatinski,0,26,11,4,0,41,9.0835,FC Viitorul,43175.94262,2nd.half,43175.90853,197.992, game,1187.6,228.7,60.1,14.5,1.8,1157.6,211.6,57.8,18.2,7.7,0,0,0,0,0,1162.6,461.2,259.7,117.9,59.7,33.2,21.6,15,9.1,790.5,15.1,1515.8,1276.4,120.7,30.7,2,7.3867,38.6678,False,GD,0.0
