playerName,date,wellness_fatigue,wellness_mood,wellness_sleep,wellness_soreness,wellness_stress
Player18,2017-11-19,2,5,2,3,4
Player6,2017-11-19,5,5,5,5,5
Player8,2017-11-19,4,4,5,3,5
Player21,2017-11-19,3,3,2,2,3
Player3,2017-11-19,4,3,3,3,3
Player22,2017-11-19,4,4,4,4,4
Player17,2017-11-19,5,5,5,3,4
Player14,2017-11-19,4,5,3,5,5
Player27,2017-11-19,4,5,3,4,4
Player7,2017-11-19,5,5,5,5,5
Player19,2017-11-19,3,5,4,2,5
Player1,2017-11-19,3,4,2,4,4
Player29,2017-11-19,3,5,4,5,5
Player32,2017-11-19,5,5,5,4,5
Player2,2017-11-19,3,5,4,5,5
Player20,2017-11-19,4,5,4,5,5
Player5,2017-11-19,3,5,3,4,5
Player10,2017-11-19,5,5,5,5,5
Player11,2017-11-19,3,5,3,3,5
Player30,2017-11-19,5,3,5,4,5
Player16,2017-11-19,5,5,5,4,5
Player25,2017-11-19,5,5,4,4,5
Player9,2017-11-19,2,5,1,4,3
Player23,2017-11-19,5,5,5,5,5
Player26,2017-11-19,3,4,2,4,4
