date,playerName,duration,rpe,workload,splitStartTime,splitName,splitEndTime,totalDistance,sprintDistance,powerPlays,powerDistance,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,intensity,highspeedRunningDistance,highPowerDistance,highIntensityDeceleration,highIntensityAcceleration,heartRateGr90,heartRate85to90,explosiveDistance,distancePerMinute,cardioWorkload,averageMetabolicPower,Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Date,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Distance (km),Distance Per Min (m/min),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Duration,Energy (kcal),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: > 20 G (Impacts),Impacts,Player Load,Player Name,Power Play Duration Zones: 0 - 2_5 s (Power Plays),Power Play Duration Zones: 2_5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7_5 s (Power Plays),Power Play Duration Zones: 7_5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Power Plays,Power Score (w/kg),Session Title,Split End Time,Split Name,Split Start Time,Sprint Distance (m),Tags,Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Top Speed (m/s),Work Ratio,dirty
2017-08-27 00:00:00.000,Player2,11.633333333333333,0.0,0.11126178006711784,2017-08-27 10:57:29.376,Warm-up,2017-08-27 11:09:06.623,0.693,0.0,3,68.10000000000001,0.0,2.225235601342357,0.0,0.0,45.27495327529345,0.0,27.799999999999994,0,1,0,0,68.10000000000001,59.573,0,4.448,0,13,8,1,0,42974,0,14,8,0,0,0.693,59.573,0.2816,0.0422,0.0079,0.0002,0,0.2992,0.0532,0.0089,0,0,0.2244,0.15,0.1056,0.0403,0.0203,0.0041,0.0026,0.0008,0,0.1449,0,0.3015,0.3408,0.0507,0,0,698,77.8563,0,0,71,2,0,2,41.7222,Bancu,0,2,1,0,0,3,4.448,GD 2,42974.46466,Warm-up,42974.45659,0, training,314.9,26,5.1,0.2,0,323.9,23.9,3.5,0,0,0,0,0,0,0,503.2,52.4,29.1,10.6,5.9,1,0.7,0.2,0,94.4,0,562.4,124.3,10.8,0,0,5.3467,15.7276,False
2017-08-27 00:00:00.000,Player2,45.5,3.0,inf,2017-08-27 10:57:22.464,Session,2017-08-27 11:42:51.840,3.2504,42.0,25,614.0000000000001,inf,inf,inf,inf,inf,182.378,361.0,19,16,0,0,431.6220000000001,71.4378,0,5.6087,0,71,47,12,4,42974,0,59,53,11,8,3.2504,71.4378,1.2657,0.2578,0.0616,0.0105,0.0013,1.2346,0.3069,0.0875,0.0192,0.0054,0.7776,0.6616,0.4198,0.253,0.1418,0.0857,0.0536,0.0298,0.0238,0.7774,0.0263,1.1391,1.6185,0.3104,0.1403,0.042,2730,384.2315,0,0,235,3,0,3,183.5295,Bancu,0,16,6,2,1,25,5.6087,GD 2,42974.4881,Session,42974.45651,182.378, training,1258.3,116.6,28.7,5.2,0.9,1164.2,120.3,27.9,6.1,1.7,0,0,0,0,0,1746.7,235.2,117.8,60.5,33,17.3,11.1,6.2,5.3,490.1,6.7,2020.3,616.6,64,23.3,5.7,7.7912,20.2315,False
2017-08-27 00:00:00.000,Player2,24.15,0.0,1.5423827800779684,2017-08-27 11:18:35.136,Defensive-line,2017-08-27 11:42:44.064,2.2707,42.0,22,545.2,0.0,19.859875960971788,45.39169214500234,19.997829366343726,73.94715076043705,182.378,332.9,19,15,0,0,362.82200000000006,94.0253,0,7.6186,0,52,38,11,4,42974,0,42,44,11,8,2.2707,94.0253,0.8642,0.2095,0.0524,0.0097,0.0013,0.7919,0.2402,0.077,0.0189,0.0054,0.3825,0.5084,0.3139,0.2123,0.1213,0.0816,0.051,0.0289,0.0238,0.5206,0.0263,0.5994,1.2292,0.2597,0.1403,0.042,1449,276.9749,0,0,156,1,0,1,120.3491,Bancu,0,14,5,2,1,22,7.6186,GD 2,42974.48801,Defensive-line,42974.47124,182.378, training,639.5,81.8,21.6,4.3,0.9,585.3,84.1,23.5,6,1.7,0,0,0,0,0,740,180.3,88.4,49.7,27,16.3,10.4,6,5.3,318.6,6.7,903.7,462.8,53.2,23.3,5.7,7.7912,30.3997,False
2017-08-27 00:00:00.000,Player5,45.5,4.0,inf,2017-08-27 10:57:22.464,Session,2017-08-27 11:42:51.840,3.4282,138.2,29,805.9999999999999,inf,inf,inf,inf,inf,368.211,561.4,30,35,0,0,437.7889999999999,75.3458,0,6.0772,0,60,34,27,8,42974,0,59,38,16,14,3.4282,75.3458,1.2645,0.2635,0.0941,0.0234,0.0039,1.3346,0.3147,0.0814,0.0274,0.0207,0.845,0.5559,0.4102,0.2446,0.1824,0.1436,0.0685,0.0528,0.0374,0.8111,0.0767,1.1975,1.5479,0.3146,0.23,0.1382,2730,416.2994,0,0,233,0,0,0,185.7929,Briceag,0,16,8,2,3,29,6.0772,GD 2,42974.4881,Session,42974.45651,368.211, training,1237.1,116.4,39,9.4,1.7,1156.7,129,27.9,7.5,5.1,0,0,0,0,0,1741.4,198.9,112.1,56.9,36.2,26.2,13.6,11,7.8,508.9,16.8,2009.9,598.9,64.7,37.4,18.9,8.3023,20.126,False
2017-08-27 00:00:00.000,Player5,11.633333333333333,0.0,0.3761784236729122,2017-08-27 10:57:29.376,Warm-up,2017-08-27 11:09:06.623,0.6735,0.0,5,92.7,0.0,3.277323750098999,10.122613999687367,0.0,44.34426282117397,13.708,40.699999999999996,1,6,0,0,78.992,57.8968,0,4.4069,0,12,6,6,0,42974,0,15,5,1,0,0.6735,57.8968,0.2512,0.046,0.0135,0.0016,0,0.2832,0.0679,0.0092,0.0008,0,0.2323,0.1165,0.0911,0.052,0.0208,0.011,0.005,0.0024,0.0006,0.1409,0.0009,0.2953,0.301,0.0635,0.0137,0,698,77.1484,0,0,65,0,0,0,39.6004,Briceag,0,2,3,0,0,5,4.4069,GD 2,42974.46466,Warm-up,42974.45659,13.708, training,322.4,31.5,11,1.1,0,292.5,33.3,5.4,0.4,0,0,0,0,0,0,518.7,42.7,25.1,12.1,5.1,2.9,1.3,0.7,0.2,88.6,0.2,570.2,111.8,13.2,2.4,0,5.8467,15.3526,False
2017-08-27 00:00:00.000,Player5,24.15,0.0,2.1422482751922187,2017-08-27 11:18:35.136,Defensive-line,2017-08-27 11:42:44.064,2.4213,138.2,24,711.8999999999999,0.0,27.49385438669953,50.78526565963792,46.60491358129319,79.99333902219696,354.503,519.8000000000001,29,29,0,0,357.3969999999999,100.2611,0,8.3897,0,47,26,21,8,42974,0,39,26,15,14,2.4213,100.2611,0.8643,0.2123,0.0784,0.0212,0.0038,0.892,0.2321,0.0701,0.0266,0.0207,0.3787,0.4362,0.3175,0.1921,0.1613,0.1321,0.0634,0.0504,0.0368,0.577,0.0758,0.5956,1.22,0.2511,0.2163,0.1382,1449,305.0186,0,0,158,0,0,0,123.928,Briceag,0,14,5,2,3,24,8.3897,GD 2,42974.48801,Defensive-line,42974.47124,354.503, training,616,77,25.7,7.7,1.6,605.3,82.1,21.2,7.1,5.1,0,0,0,0,0,708.9,154.1,86,44.5,30.9,23.1,12.2,10.3,7.6,354.6,16.6,871.1,472.3,51.5,35,18.9,8.3023,30.1629,False
2017-08-27 00:00:00.000,Player6,11.633333333333333,0.0,0.20610131992317293,2017-08-27 10:57:29.376,Warm-up,2017-08-27 11:09:06.623,0.7566,0.0,7,107.6,0.0,4.122026398463459,0.0,0.0,49.456881658918526,8.514,48.99999999999999,1,0,0,0,99.086,65.0387,0,4.863,0,14,7,0,0,42974,0,10,10,1,0,0.7566,65.0387,0.2923,0.0535,0.0091,0,0,0.3319,0.0594,0.0093,0.0012,0,0.2254,0.1442,0.0904,0.0586,0.0265,0.0132,0.005,0.0033,0.0005,0.1891,0.0005,0.3059,0.3501,0.0921,0.0085,0,698,85.1257,0,0,26,0,0,0,39.8721,Burlacu,0,4,3,0,0,7,4.863,GD 2,42974.46466,Warm-up,42974.45659,8.514, training,320,30.6,5.4,0,0,307.3,30.5,3.3,0.4,0,0,0,0,0,0,474.1,52.3,23.9,13.3,6.6,3.3,1.2,0.7,0.1,121.9,0.1,535.1,142,18.9,1.5,0,5.7667,15.5269,False
2017-08-27 00:00:00.000,Player6,24.15,0.0,1.5141440151872863,2017-08-27 11:18:35.136,Defensive-line,2017-08-27 11:42:44.064,2.2541,40.9,25,571.2,0.0,22.169219849618994,42.126121849512806,22.024397100766038,73.52369600969527,248.416,389.59999999999997,22,16,0,0,322.78400000000005,93.3388,0,7.5903,0,39,25,12,4,42974,0,30,23,14,8,2.2541,93.3388,0.8617,0.2047,0.0642,0.0119,0.0017,0.8102,0.1816,0.0835,0.0268,0.008,0.5361,0.2682,0.2529,0.1816,0.1394,0.084,0.0495,0.0347,0.0284,0.6257,0.0536,0.8521,0.9221,0.2315,0.2075,0.0409,1449,275.967,0,0,33,1,0,1,98.4138,Burlacu,0,15,8,1,1,25,7.5903,GD 2,42974.48801,Defensive-line,42974.47124,248.416, training,663.7,70.4,21.1,4.6,0.7,594.7,59.7,24,7.6,2.3,0,0,0,0,0,753.2,97.2,69.6,42.2,27.4,16.5,10.4,7.6,6,407.4,11.3,987.6,374.1,47.5,33.9,5.7,7.5978,21.7076,False
2017-08-27 00:00:00.000,Player6,45.5,2.0,inf,2017-08-27 10:57:22.464,Session,2017-08-27 11:42:51.840,3.3801,40.9,32,680.2,inf,inf,inf,inf,inf,256.93,438.8999999999999,25,16,0,0,423.27000000000004,74.2884,0,5.8291,0,57,35,12,4,42974,0,43,34,17,8,3.3801,74.2884,1.3162,0.2658,0.0766,0.0123,0.0018,1.3208,0.2514,0.0976,0.0294,0.0082,0.9657,0.4194,0.3453,0.2413,0.1662,0.0972,0.0545,0.038,0.0289,0.9696,0.0541,1.4659,1.3337,0.3236,0.216,0.0409,2730,399.3356,0,0,65,1,0,1,162.9948,Burlacu,0,19,11,1,1,32,5.8291,GD 2,42974.4881,Session,42974.45651,256.93, training,1278.1,110.2,29.7,5.1,0.8,1165.6,99.4,30,8.6,2.4,0,0,0,0,0,1696.5,153.6,94.8,56.2,34.2,19.8,11.6,8.3,6.1,637.4,11.4,2070,552.4,66.4,35.4,5.7,7.5978,15.6599,False
2017-08-27 00:00:00.000,Player14,24.15,0.0,1.0486795884733986,2017-08-27 11:18:35.136,Defensive-line,2017-08-27 11:42:44.064,1.9806,22.9,16,377.4,0.0,13.917507418382817,30.280033579021453,14.460193942318913,63.52099816858486,131.146,232.1,12,8,0,0,246.254,82.0141,0,6.4129,0,38,25,7,1,42974,0,33,21,9,3,1.9806,82.0141,0.7826,0.1389,0.0425,0.0072,0.001,0.7905,0.1501,0.0544,0.0099,0.0036,0.6178,0.3608,0.1901,0.1453,0.0823,0.0481,0.032,0.0198,0.0172,0.4345,0.0327,0.8007,0.8649,0.1839,0.1083,0.0229,1449,233.1576,0,0,98,1,0,1,102.1006,Gustavo,0,9,6,1,0,16,6.4129,GD 2,42974.48801,Defensive-line,42974.47124,131.146, training,677.6,54.5,13.2,3.2,0.3,626.7,53.3,16.2,2.8,1,0,0,0,0,0,915.9,131.8,54.7,31.5,16.8,10.1,7,4.3,3.4,266.2,7.1,1056.4,334.4,37.1,17.7,3.2,7.3956,22.2115,False
