date,PlayerId,rpe,totalDistance,sprintDistance,highspeedRunningDistance,powerDistance,highPowerDistance,highIntensityAcceleration,highIntensityDeceleration,explosiveDistance,averageMetabolicPower,distancePerMinute,duration,rpeTl,powerPlays,splitName
2017-07-03T00:00:00.000Z,Player10,0,0.6683,0,12.105,59.199999999999996,29.799999999999997,0,2,47.095,5.4396,73.7122,9.066666666666666,,2,Warm-up
2017-07-03T00:00:00.000Z,Player2,0,1.8614,139.4,291.477,484.1,392.40000000000003,9,19,192.62300000000005,4.5767,57.5976,32.31666666666667,,15,Defensive-on count
2017-07-03T00:00:00.000Z,Player10,0,0.9425,0,0,77.99999999999999,46.900000000000006,23,9,77.99999999999999,6.288,74.8969,12.583333333333334,,0,Passing-drill squa
2017-07-03T00:00:00.000Z,Player11,0,1.9157,25.4,222.737,485.5999999999999,327.6,16,16,262.86299999999994,4.7443,59.2789,32.31666666666667,,20,Defensive-on count
2017-07-03T00:00:00.000Z,Player6,0,2.0767,53.400000000000006,181.923,416.4,268.49999999999994,9,10,234.47699999999998,4.9925,64.2616,32.31666666666667,,14,Defensive-on count
2017-07-03T00:00:00.000Z,Player8,0,0.6722,0,10.037,55.699999999999996,22.8,0,2,45.663,5.5046,74.1378,9.066666666666666,,2,Warm-up
2017-07-03T00:00:00.000Z,Player12,0,1.0336,0,0,105.00000000000001,55.10000000000001,25,6,105.00000000000001,6.8354,82.1384,12.583333333333334,,0,Passing-drill squa
2017-07-03T00:00:00.000Z,Player8,0,1.0177,0,0,129,71.50000000000001,21,4,129,6.7891,80.8732,12.583333333333334,,1,Passing-drill squa
2017-07-03T00:00:00.000Z,Player4,0,0.6952,0,25.691,72.9,29,1,0,47.209,5.7128,76.6783,9.066666666666666,,2,Warm-up
2017-07-03T00:00:00.000Z,Player11,0,0.9661,0,0,82,47.60000000000001,20,2,82,6.3245,76.7752,12.583333333333334,,0,Passing-drill squa
2017-07-03T00:00:00.000Z,Player7,0,0.6393,0,25.449,66.49999999999999,40.199999999999996,1,3,41.05099999999999,5.267,70.5067,9.066666666666666,,2,Warm-up
2017-07-03T00:00:00.000Z,Player5,0,1.2882,0,71.73,218.20000000000005,132.9,11,11,146.47000000000003,3.0313,39.8617,32.31666666666667,,7,Defensive-on count
2017-07-04T00:00:00.000Z,Player7,2,3.1738,53.699999999999996,238.047,482.8999999999999,360.09999999999997,23,33,244.85299999999992,4.6953,59.7505,53.11666666666667,,17,Session
2017-07-04T00:00:00.000Z,Player1,3,3.4245,2.8,88.382,371.29999999999995,226.7,27,21,282.91799999999995,4.99,64.4714,53.11666666666667,,11,Session
2017-07-04T00:00:00.000Z,Player6,2,3.7044,19.8,207.111,634.3,386.20000000000005,29,30,427.18899999999996,5.4546,69.7411,53.11666666666667,,24,Session
2017-07-04T00:00:00.000Z,Player11,3,3.9111,12.1,221.74,738.3000000000001,445,39,44,516.5600000000001,5.8276,73.6319,53.11666666666667,,21,Session
2017-07-04T00:00:00.000Z,Player8,3,3.5517,50.5,300.917,738.4000000000001,497.99999999999994,31,35,437.4830000000001,5.3664,66.8655,53.11666666666667,,29,Session
2017-07-04T00:00:00.000Z,Player2,1,3.7089,93.5,317.817,791.8000000000001,526.1,41,42,473.98300000000006,5.695,69.8246,53.11666666666667,,29,Session
2017-07-04T00:00:00.000Z,Player4,2,4.1536,0.7,217.329,798.3999999999999,479.5,43,28,581.0709999999999,6.2811,78.1974,53.11666666666667,,27,Session
2017-07-04T00:00:00.000Z,Player4,0,2.5686,0.7,156.509,632.6000000000001,361.49999999999994,26,20,476.0910000000001,9.7124,118.0058,21.766666666666666,,25,Preparation-to the
2017-07-04T00:00:00.000Z,Player12,3,3.4396,15.299999999999999,147.468,591.6999999999999,344.2,38,38,444.23199999999997,5.1864,64.7563,53.11666666666667,,23,Session
2017-07-04T00:00:00.000Z,Player5,0,0.607,0,24.286,69,27.200000000000003,1,1,44.714,5.6871,76.0323,7.983333333333333,,1,Warm-up
2017-07-04T00:00:00.000Z,Player6,0,0.3677,0,0,7.699999999999999,1.9,1,1,7.699999999999999,2.2204,30.9865,11.866666666666667,,0,Set-pieces
2017-07-04T00:00:00.000Z,Player12,0,2.2084,13.899999999999999,83.824,457,250.6,29,30,373.176,8.3826,101.457,21.766666666666666,,21,Preparation-to the
2017-07-04T00:00:00.000Z,Player11,0,0.1403,0,0,26.800000000000004,19.400000000000002,6,7,26.800000000000004,3.5654,36.2772,3.8666666666666667,,0,Agility
2017-07-04T00:00:00.000Z,Player10,4,3.6771,24.299999999999997,187.371,692.9,459.30000000000007,43,44,505.529,5.6166,69.2273,53.11666666666667,,23,Session
2017-07-04T00:00:00.000Z,Player8,0,0.6194,0,35.251,72.99999999999999,45.199999999999996,1,1,37.74899999999999,5.8296,77.4231,8,,1,Warm-up
2017-07-04T00:00:00.000Z,Player6,0,2.2842,19.8,184.444,531.2,332.9,24,23,346.7560000000001,8.5393,104.8592,21.783333333333335,,21,Preparation-to the
2017-07-04T00:00:00.000Z,Player3,0,0.4109,0,0,15.200000000000001,10.9,7,5,15.200000000000001,2.6376,34.6299,11.866666666666667,,0,Set-pieces
2017-07-04T00:00:00.000Z,Player5,0,0.1518,0,0,18.000000000000004,15.8,5,6,18.000000000000004,3.3849,39.255,3.8666666666666667,,0,Agility
2017-07-04T00:00:00.000Z,Player8,0,0.1546,0,0,16.1,11.1,4,3,16.1,3.2856,39.9864,3.8666666666666667,,0,Agility
2017-07-04T00:00:00.000Z,Player11,0,0.5532,0,30.034,78.39999999999998,54.7,10,7,48.36599999999998,3.6912,46.6174,11.866666666666667,,3,Set-pieces
2017-07-04T00:00:00.000Z,Player3,2,3.4724,0,86.206,478.5,244,18,24,392.294,5.0134,65.3728,53.11666666666667,,16,Session
2017-07-04T00:00:00.000Z,Player5,0.5,3.2192,0.7,119.824,481.00000000000006,256.5,17,21,361.17600000000004,4.68,60.606,53.11666666666667,,14,Session
2017-07-04T00:00:00.000Z,Player7,0,1.7394,48.099999999999994,184.059,328.7,247.89999999999995,8,18,144.641,6.4034,79.8496,21.783333333333335,,12,Preparation-to the
2017-07-04T00:00:00.000Z,Player1,0,1.7459,0,34.072,185.1,97.5,7,5,151.028,6.1495,80.1478,21.783333333333335,,4,Preparation-to the
2017-07-04T00:00:00.000Z,Player5,0,0.0348,0,0,0,0,0,0,0,0.1994,2.9299,11.866666666666667,,0,Set-pieces
2017-07-04T00:00:00.000Z,Player11,0,0.6391,1.4,61.698,106.10000000000001,78.2,4,4,44.40200000000001,6.124,79.8823,8,,2,Warm-up
2017-07-04T00:00:00.000Z,Player12,0,0.1356,0,0,0,0,0,0,0,0.7537,11.4277,11.866666666666667,,0,Set-pieces
2017-07-04T00:00:00.000Z,Player3,0,0.0672,0,0,0,0,0,0,0,1.1202,17.3716,3.8666666666666667,,0,Agility
2017-07-04T00:00:00.000Z,Player7,0,0.1244,0,1.125,24,19.400000000000002,5,4,22.875,2.9588,32.1747,3.8666666666666667,,1,Agility
2017-07-04T00:00:00.000Z,Player6,0,0.6093,0,22.667,71,31.6,0,2,48.333,5.631,76.161,8,,2,Warm-up
2017-07-04T00:00:00.000Z,Player2,0,2.2058,93.5,260.835,616.8,422.09999999999997,23,27,355.965,8.5376,101.2626,21.783333333333335,,24,Preparation-to the
2017-07-04T00:00:00.000Z,Player4,0,0.6694,0,60.82,107.30000000000003,73.80000000000001,3,1,46.480000000000025,6.3918,83.8522,7.983333333333333,,2,Warm-up
2017-07-04T00:00:00.000Z,Player3,0,2.0848,0,37.699,346.2,162.39999999999998,10,16,308.501,7.5103,95.7773,21.766666666666666,,14,Preparation-to the
2017-07-04T00:00:00.000Z,Player8,0,0.2439,0,0,7.299999999999999,4.6,2,2,7.299999999999999,1.486,20.5552,11.866666666666667,,0,Set-pieces
2017-07-04T00:00:00.000Z,Player10,0,0.1258,0,0.608,20.499999999999996,15.9,4,5,19.891999999999996,2.9091,32.5381,3.8666666666666667,,0,Agility
2017-07-04T00:00:00.000Z,Player4,0,0.3978,0,0,30.900000000000002,23.599999999999998,10,5,30.900000000000002,2.7968,33.5183,11.866666666666667,,0,Set-pieces
2017-07-04T00:00:00.000Z,Player8,0,2.2639,50.5,265.665,633.8,434.50000000000006,23,29,368.13499999999993,8.7115,104.0069,21.766666666666666,,27,Preparation-to the
2017-07-04T00:00:00.000Z,Player12,0,0.6557,1.4,59.73,100.59999999999998,71.19999999999999,2,3,40.86999999999998,6.1998,81.9626,8,,1,Warm-up
2017-07-04T00:00:00.000Z,Player10,0,2.2691,19.400000000000002,132.271,551.3000000000001,352.29999999999995,26,30,419.0290000000001,8.765,104.2464,21.766666666666666,,21,Preparation-to the
2017-07-04T00:00:00.000Z,Player1,0,0.6651,2.8,53.203,97.3,68.3,2,1,44.096999999999994,6.3004,83.3082,7.983333333333333,,1,Warm-up
2017-07-04T00:00:00.000Z,Player3,0,0.6412,0,48.507,117.3,70.9,1,3,68.793,6.2026,80.1493,8,,1,Warm-up
2017-07-04T00:00:00.000Z,Player2,0,0.1318,0,0,18.2,14.800000000000002,4,4,18.2,3.0283,34.0929,3.8666666666666667,,0,Agility
2017-07-04T00:00:00.000Z,Player2,0,0.6142,0,46.657,91.00000000000001,42.70000000000001,0,3,44.34300000000002,5.7789,76.777,8,,2,Warm-up
2017-07-04T00:00:00.000Z,Player6,0,0.1489,0,0,20.100000000000005,16.400000000000002,3,3,20.100000000000005,3.1879,38.5153,3.8666666666666667,,1,Agility
2017-07-04T00:00:00.000Z,Player1,0,0.1792,0,0,30.5,21.2,6,5,30.5,4.211,46.3477,3.8666666666666667,,2,Agility
2017-07-04T00:00:00.000Z,Player12,0,0.1579,0,2.248,27.000000000000004,18.2,5,4,24.752000000000002,3.9537,40.8321,3.8666666666666667,,0,Agility
2017-07-04T00:00:00.000Z,Player10,0,0.3993,0,0,24.999999999999996,21.2,12,6,24.999999999999996,2.6814,33.6503,11.866666666666667,,0,Set-pieces
2017-07-04T00:00:00.000Z,Player4,0,0.1731,0,0,27.7,20.7,4,2,27.7,3.9421,44.7665,3.8666666666666667,,0,Agility
2017-07-04T00:00:00.000Z,Player10,0,0.6423,4.8999999999999995,53.372,88.2,68.4,0,3,34.828,6.0179,80.2834,8,,1,Warm-up
2017-07-04T00:00:00.000Z,Player5,0,2.1777,0.7,93.868,386.5,211.29999999999998,10,14,292.632,7.8399,99.9713,21.783333333333335,,12,Preparation-to the
2017-07-04T00:00:00.000Z,Player7,0,0.6225,5.6,52.863,97,69.3,1,5,44.137,5.9723,77.8079,8,,4,Warm-up
2017-07-04T00:00:00.000Z,Player2,0,0.4752,0,10.325,60.5,42.699999999999996,13,7,50.175,3.3384,40.0441,11.866666666666667,,3,Set-pieces
2017-07-04T00:00:00.000Z,Player11,0,2.3019,10.7,130.007,526.8,292.7,19,26,396.79299999999995,8.4898,105.6741,21.783333333333335,,16,Preparation-to the
2017-07-04T00:00:00.000Z,Player1,0,0.501,0,1.107,57.99999999999999,39.699999999999996,12,9,56.892999999999994,3.5644,42.2179,11.866666666666667,,3,Set-pieces
2017-07-04T00:00:00.000Z,Player7,0,0.3697,0,0,29.1,20.900000000000002,8,5,29.1,2.4465,31.157,11.866666666666667,,0,Set-pieces
2017-07-05T00:00:00.000Z,Player3,0,2.3502,0,32.438,314.50000000000006,173.8,28,30,282.06200000000007,5.9667,73.8674,31.816666666666666,,12,Session
2017-07-05T00:00:00.000Z,Player3,0,0.3049,0,10.849,94.4,58.4,8,6,83.551,14.1755,151.1856,2.0166666666666666,,3,Fourth-game
2017-07-05T00:00:00.000Z,Player3,0,0.2227,0,1.107,27.8,16.700000000000003,4,3,26.693,9.351,108.6132,2.05,,1,Second-game
2017-07-05T00:00:00.000Z,Player3,0,0.3185,0,20.482,103.30000000000001,64.2,7,7,82.81800000000001,12.3746,136.5099,2.3333333333333335,,6,Third-game
2017-07-05T00:00:00.000Z,Player3,0,0.2574,0,0,38.99999999999999,14.8,2,4,38.99999999999999,10.1409,119.733,2.15,,1,First-game
2017-07-05T00:00:00.000Z,Player12,8,4.4653,49.7,919.031,1973.2,988.1,50,41,1054.169,10.445,125.8426,35.483333333333334,,41,Session
2017-07-05T00:00:00.000Z,Player2,8,10.298,344.6,1018.504,2804.2,1715.7,78,116,1785.696,9.4394,114.0421,90.3,,98,game
2017-07-05T00:00:00.000Z,Player3,5,4.0136,21,832.631,1967.9999999999998,900.6999999999999,14,21,1135.3689999999997,11.1292,138.7201,28.933333333333334,,41,Session
2017-07-05T00:00:00.000Z,Player11,7,7.8955,220.20000000000002,714.813,1873.6,1151.2,41,83,1158.7869999999998,9.2554,116.31,67.88333333333334,,52,game
2017-07-05T00:00:00.000Z,Player4,7,7.937,54.5,376.02,2028.9,993.9,76,92,1652.88,10.716,131.1545,60.516666666666666,,72,game
2017-07-05T00:00:00.000Z,Player8,0,5.2899,135.8,472.405,1329.8000000000002,808.9000000000001,44,68,857.3950000000002,9.7009,116.5171,45.4,,46,1st.half
2017-07-05T00:00:00.000Z,Player6,0,5.8917,106.5,441.216,1507.0000000000002,845.0999999999999,43,56,1065.784,10.6047,129.774,45.4,,57,1st.half
2017-07-05T00:00:00.000Z,Player10,0,2.4896,24.299999999999997,156.348,463.30000000000007,292.80000000000007,15,21,306.95200000000006,8.9416,111.7226,22.283333333333335,,13,2nd.half
2017-07-05T00:00:00.000Z,Player1,8,9.3351,44,304.216,1461.9,803,54,87,1157.6840000000002,7.9466,100.001,93.35,,55,game
2017-07-05T00:00:00.000Z,Player2,0,5.0198,186.4,512.721,1330.1999999999998,831.3,28,62,817.4789999999998,9.23,111.7996,44.9,,43,2nd.half
2017-07-05T00:00:00.000Z,Player10,0,5.3489,50.9,301.43,1199.2,657.5,35,64,897.77,9.6086,117.8171,45.4,,44,1st.half
2017-07-05T00:00:00.000Z,Player8,0,4.8604,180.2,514.849,1218.9999999999998,804.4999999999999,37,65,704.1509999999997,9.0781,108.2495,44.9,,41,2nd.half
2017-07-05T00:00:00.000Z,Player7,0,2.7051,18.5,122.719,493.8,286.8,10,27,371.081,7.2033,90.6734,29.833333333333332,,21,2nd.half
2017-07-05T00:00:00.000Z,Player4,0,6.0249,11.299999999999999,273.703,1618.6,766.9,55,75,1344.897,10.8805,132.7065,45.4,,60,1st.half
2017-07-05T00:00:00.000Z,Player7,7,7.121,126.6,436.374,1330.2999999999997,836.7000000000002,30,79,893.9259999999997,7.5794,94.6526,75.23333333333333,,48,game
2017-07-05T00:00:00.000Z,Player1,0,4.6138,17.9,175.703,781.2999999999998,436.40000000000003,26,41,605.5969999999999,7.8719,99.365,46.43333333333333,,31,2nd.half
2017-07-05T00:00:00.000Z,Player10,8,7.8384,75.2,457.777,1663.2999999999997,950.1999999999999,50,85,1205.5229999999997,9.389,115.8106,67.68333333333334,,57,game
2017-07-05T00:00:00.000Z,Player6,8,11.2738,152.5,849.615,2717.7,1557.6,72,93,1868.0849999999998,10.0946,124.8488,90.3,,97,game
2017-07-05T00:00:00.000Z,Player11,0,5.3054,82.60000000000001,430.238,1218,732.1000000000001,28,50,787.762,9.2954,116.8593,45.4,,33,1st.half
2017-07-05T00:00:00.000Z,Player1,0,4.7213,26.1,128.513,680.3999999999999,366.50000000000006,28,46,551.8869999999998,8.0205,100.6306,46.916666666666664,,24,1st.half
2017-07-05T00:00:00.000Z,Player6,0,5.3821,46.1,408.4,1210.5000000000002,712.3,29,37,802.1000000000003,9.579,119.8688,44.9,,40,2nd.half
2017-07-05T00:00:00.000Z,Player8,7,10.1503,316,987.253,2549.5,1613.3999999999999,81,133,1562.2469999999998,9.3912,112.4062,90.3,,87,game
2017-07-05T00:00:00.000Z,Player11,0,2.5901,128.3,284.575,639.3,405.5,13,33,354.72499999999997,9.1746,115.2007,22.483333333333334,,19,2nd.half
2017-07-05T00:00:00.000Z,Player4,0,1.9122,43.2,102.318,406.6,226,21,17,304.28200000000004,10.2221,126.3541,15.133333333333333,,12,2nd.half
2017-07-05T00:00:00.000Z,Player2,0,5.2782,158.20000000000002,505.783,1473.9,884.3000000000001,50,54,968.1170000000001,9.6465,116.2598,45.4,,55,1st.half
2017-07-05T00:00:00.000Z,Player7,0,4.4159,108.10000000000001,313.655,836.6,549.9,20,52,522.945,7.8266,97.2674,45.4,,27,1st.half
2017-07-06T00:00:00.000Z,Player1,0,2.7295,0,0,3.4,0.3,0,0,3.4,5.7354,83.301,32.766666666666666,,0,Session
2017-07-06T00:00:00.000Z,Player7,0,2.7493,0,0,1.4,0,0,1,1.4,5.7415,83.9059,32.766666666666666,,0,Session
2017-07-06T00:00:00.000Z,Player6,0,2.7721,0,0,1.9,0,0,0,1.9,5.8686,84.6012,32.766666666666666,,0,Session
2017-07-06T00:00:00.000Z,Player12,0,2.8909,0,0,5.1,0.3,0,0,5.1,6.1,88.2275,32.766666666666666,,0,Session
2017-07-06T00:00:00.000Z,Player4,0,3.1591,0,0,4.3,0,0,1,4.3,6.5733,96.411,32.766666666666666,,0,Session
2017-07-07T00:00:00.000Z,Player10,0,0.6619,0,19.434,70.3,34.4,4,0,50.866,5.1733,68.1218,9.716666666666667,,2,Warm-up
2017-07-07T00:00:00.000Z,Player4,0,0.6638,0,25.93,86.9,42.800000000000004,5,3,60.970000000000006,5.2156,68.3157,9.716666666666667,,3,Warm-up
2017-07-07T00:00:00.000Z,Player11,0,0.6672,0,13.483,78.1,36.699999999999996,7,3,64.61699999999999,5.1585,68.6631,9.716666666666667,,2,Warm-up
2017-07-07T00:00:00.000Z,Player3,0,0.6674,0,0,42.20000000000001,16.7,3,1,42.20000000000001,5.0981,68.6901,9.716666666666667,,1,Warm-up
2017-07-07T00:00:00.000Z,Player7,0,0.6138,0,22.797,73.7,38.3,2,0,50.903000000000006,4.7492,63.1648,9.716666666666667,,2,Warm-up
2017-07-07T00:00:00.000Z,Player1,0,0.7082,0,6.705,72.49999999999999,30.099999999999998,4,2,65.79499999999999,5.4379,72.8803,9.716666666666667,,4,Warm-up
2017-07-07T00:00:00.000Z,Player12,0,0.6715,0,2.224,57.400000000000006,25.899999999999995,6,2,55.176,5.1502,69.1072,9.716666666666667,,2,Warm-up
2017-07-07T00:00:00.000Z,Player8,0,2.0893,0.7,92.848,358.20000000000005,233.3,40,31,265.35200000000003,4.466,54.4085,38.4,,18,Defensive-line
2017-07-07T00:00:00.000Z,Player5,0,0.6231,0,4.488,70.59999999999998,30.7,4,3,66.11199999999998,4.9481,64.1305,9.716666666666667,,2,Warm-up
2017-07-07T00:00:00.000Z,Player4,0,1.5862,0,656.355,1134.9999999999998,464.6,14,0,478.64499999999975,11.1163,144.4158,10.983333333333333,,14,Intermittent-run
2017-07-07T00:00:00.000Z,Player11,0,1.6016,0,649.469,1098.4999999999998,474.30000000000007,12,0,449.0309999999997,10.7875,141.3136,11.333333333333334,,14,Intermittent-run
2017-07-07T00:00:00.000Z,Player2,0,0.673,0,14.297,87.1,41.8,4,1,72.803,5.2428,69.2633,9.716666666666667,,2,Warm-up
2017-07-07T00:00:00.000Z,Player1,0,1.8129,0,7.719,201.7,115.49999999999999,36,23,193.981,3.7598,47.2101,38.4,,7,Defensive-line
2017-07-07T00:00:00.000Z,Player4,0,2.065,0,24.413,176.39999999999998,101.3,21,18,151.98699999999997,4.4057,57.1222,36.15,,9,Offensive-combinat
2017-07-07T00:00:00.000Z,Player2,3,5.2012,12,568.161,1420.3999999999999,642.7,25,22,852.2389999999999,6.0802,78.6466,66.13333333333334,,39,Session
2017-07-07T00:00:00.000Z,Player6,3,4.5573,3.5,449.904,1190.9999999999995,513.8000000000001,20,21,741.0959999999995,5.2352,69.2603,65.8,,28,Session
2017-07-07T00:00:00.000Z,Player5,0,1.7422,0,28.329,132.8,82.39999999999999,14,13,104.471,3.6272,48.1928,36.15,,5,Offensive-combinat
2017-07-07T00:00:00.000Z,Player6,0,1.4895,0,349.405,805.5,293.50000000000006,7,0,456.095,11.361,153.2936,9.716666666666667,,10,Intermittent-run
2017-07-07T00:00:00.000Z,Player10,3,4.0893,0,51.298,895.2000000000002,254.2,35,23,843.9020000000002,4.5597,59.8429,68.33333333333333,,18,Session
