playerName,date,wellness_fatigue,wellness_mood,wellness_sleep,wellness_soreness,wellness_stress
Player18,2018-03-20,1,5,1,5,2
Player25,2018-03-20,3,5,4,5,5
Player16,2018-03-20,4,5,4,4,5
Player11,2018-03-20,5,4,3,3,3
Player10,2018-03-20,5,5,5,5,5
Player5,2018-03-20,3,4,4,4,4
Player32,2018-03-20,4,5,4,5,5
Player19,2018-03-20,3,5,5,5,4
Player14,2018-03-20,4,5,4,5,5
Player3,2018-03-20,4,5,5,5,5
Player4,2018-03-20,3,4,3,4,3
Player13,2018-03-20,4,5,5,5,5
Player12,2018-03-20,5,3,5,5,3
Player28,2018-03-20,3,5,3,4,4
