,splitName,playerName,workload,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,cardioWorkload
757,Game-position 4vs3,Player1,0.7,0.0,6.4,22.7,6.3,0
758,Warm-up,Player1,,0.0,0.0,0.0,0.0,0
759,Session,Player1,2.9,49.9,56.1,79.8,39.5,0
760,Boxes,Player1,0.5,0.0,0.0,9.4,0.0,0
761,Boxes,Player2,0.3,0.0,0.0,5.5,0.0,0
762,Session,Player2,3.5,71.2,78.4,72.8,50.3,0
763,Aerobic-circuit,Player2,2.1,0.0,47.9,34.6,0.0,0
764,Build-up,Player2,0.8,0.0,16.6,16.1,16.0,0
765,Game-position 4vs3,Player2,0.6,0.0,9.2,15.7,7.4,0
766,Warm-up,Player2,,0.0,0.0,0.0,0.0,0
767,Warm-up,Player5,,0.0,0.0,0.0,0.0,0
768,Build-up,Player5,0.3,0.0,5.1,6.7,8.3,0
769,Boxes,Player5,0.1,0.0,0.9,3.9,0.0,0
770,Aerobic-circuit,Player5,2.1,0.0,57.8,36.5,25.0,0
771,Game-position 4vs3,Player5,0.6,0.0,7.5,17.0,6.9,0
772,Session,Player5,3.4,85.5,72.5,63.0,44.9,0
773,Build-up,Player6,0.6,0.0,13.4,12.1,0.0,0
774,Boxes,Player6,0.2,0.0,0.0,4.3,0.0,0
775,Game-position 4vs3,Player6,0.6,0.0,4.6,16.8,0.0,0
776,Aerobic-circuit,Player6,1.5,0.0,30.1,29.5,0.0,0
777,Session,Player6,3.6,99.7,47.9,59.5,0.0,0
778,Warm-up,Player6,,0.0,0.0,0.0,0.0,0
779,Aerobic-circuit,Player7,1.4,0.0,25.8,31.8,0.0,0
780,Game-position 4vs3,Player7,0.8,0.0,8.4,22.3,0.0,0
781,Warm-up,Player7,0.1,0.0,0.9,1.5,0.0,0
782,Session,Player7,3.6,85.5,46.5,78.5,0.0,0
783,Boxes,Player7,0.5,0.0,0.0,10.9,0.0,0
784,Build-up,Player7,0.7,0.0,10.9,16.0,0.0,0
785,Game-position 4vs3,Player10,1.0,0.0,18.6,25.4,12.8,0
786,Session,Player10,3.0,57.0,67.4,63.1,54.1,0
787,Build-up,Player10,0.8,0.0,16.7,11.6,18.6,0
788,Boxes,Player10,0.3,0.0,0.0,5.5,0.0,0
789,Aerobic-circuit,Player10,1.2,0.0,28.4,20.3,0.0,0
790,Warm-up,Player10,,0.0,0.0,0.0,0.0,0
791,Boxes,Player14,0.3,0.0,0.0,5.4,0.0,0
792,Warm-up,Player14,0.0,0.0,0.6,0.0,0.0,0
793,Session,Player14,2.9,71.2,54.1,63.5,41.8,0
794,Aerobic-circuit,Player14,1.4,0.0,34.4,28.8,20.3,0
795,Build-up,Player14,0.6,0.0,13.3,11.4,11.3,0
796,Game-position 4vs3,Player14,0.8,0.0,5.8,22.0,0.0,0
797,Session,Player16,2.9,82.3,45.0,32.9,0.0,0
798,Build-up,Player16,0.3,0.0,5.9,4.4,0.0,0
799,Warm-up,Player16,,0.0,0.0,0.0,0.0,0
800,Boxes,Player16,0.0,0.0,0.0,0.9,0.0,0
801,Game-position 4vs3,Player16,0.3,0.0,4.0,8.3,0.0,0
802,Aerobic-circuit,Player16,1.4,0.0,35.2,20.9,0.0,0
803,Game-position 4vs3,Player19,0.4,0.0,7.2,8.9,0.0,0
804,Aerobic-circuit,Player19,0.9,0.0,21.1,15.0,0.0,0
805,Warm-up,Player19,,0.0,0.0,0.0,0.0,0
806,Boxes,Player19,0.1,0.0,0.0,1.6,0.0,0
807,Session,Player19,2.9,85.5,43.8,33.5,51.8,0
808,Build-up,Player19,0.6,0.0,13.0,7.3,16.1,0
809,Boxes,Player24,0.9,0.0,0.0,17.6,0.0,0
810,Build-up,Player24,0.8,0.0,9.6,21.9,0.0,0
811,Game-position 4vs3,Player24,0.5,0.0,2.6,15.2,0.0,0
812,Aerobic-circuit,Player24,1.9,0.0,30.9,45.5,0.0,0
813,Warm-up,Player24,0.2,0.0,0.0,3.1,0.0,0
814,Session,Player24,3.9,71.2,48.3,103.1,0.0,0
815,Boxes,Player25,0.6,0.0,0.0,11.9,0.0,0
816,Game-position 4vs3,Player25,0.8,0.0,13.0,18.1,17.9,0
817,Warm-up,Player25,,0.0,0.0,0.0,0.0,0
818,Aerobic-circuit,Player25,1.7,0.0,40.8,25.0,0.0,0
819,Session,Player25,2.7,57.0,56.5,55.1,48.9,0
820,Build-up,Player25,0.3,0.0,0.0,5.3,0.0,0
821,Aerobic-circuit,Player29,1.3,0.0,28.1,23.3,0.0,0
822,Session,Player29,3.1,85.5,47.7,59.3,46.2,0
823,Boxes,Player29,0.4,0.0,0.0,7.1,0.0,0
824,Game-position 4vs3,Player29,0.5,0.0,5.0,14.7,0.0,0
825,Warm-up,Player29,,0.0,0.0,0.0,0.0,0
826,Build-up,Player29,0.8,0.0,14.6,16.8,15.1,0
827,Aerobic-circuit,Player32,0.5,0.0,11.0,9.7,0.0,0
828,Build-up,Player32,0.7,0.0,13.2,16.0,13.6,0
829,Warm-up,Player32,,0.0,0.0,0.0,0.0,0
830,Session,Player32,2.6,57.0,37.8,67.2,42.4,0
831,Boxes,Player32,0.5,0.0,0.0,10.6,0.0,0
832,Game-position 4vs3,Player32,1.2,0.0,9.4,31.5,0.0,0
833,Session,Player1,2.2,61.1,0.0,4.7,0.0,0
834,Session,Player2,1.7,59.5,2.7,9.3,0.0,0
835,Session,Player5,1.8,61.3,2.0,12.5,0.0,0
836,Session,Player6,2.2,61.3,0.0,5.1,0.0,0
837,Session,Player7,2.1,59.6,0.0,1.5,0.0,0
838,Session,Player10,2.1,59.2,0.0,3.4,0.0,0
839,Session,Player14,3.0,59.7,0.0,0.0,0.0,0
840,Session,Player16,2.1,59.3,0.0,6.3,0.0,0
841,Session,Player19,2.1,59.2,0.0,12.8,0.0,0
842,Session,Player24,2.6,71.5,0.0,19.7,0.0,0
843,Session,Player25,1.5,59.3,5.8,14.0,6.7,0
844,Session,Player29,1.8,61.0,2.6,13.8,0.0,0
845,Session,Player3,1.7,45.8,29.2,19.7,0.0,0
846,Warm-up,Player3,,0.0,0.0,0.0,0.0,0
847,Intermittent-run,Player3,1.2,0.0,29.2,19.7,0.0,0
848,First-intermittent,Player1,0.7,0.0,15.6,10.5,0.0,0
849,Second-game 9vs9,Player1,0.5,0.0,7.7,13.7,6.6,0
850,Possession-game 6v,Player1,0.4,0.0,3.6,9.6,0.0,0
851,First-game 9vs9,Player1,0.6,0.0,10.0,18.2,7.2,0
852,Warm-up,Player1,0.1,0.0,0.0,2.9,0.0,0
853,Third-intermittent,Player1,0.6,0.0,11.1,0.0,0.0,0
854,Second-intermitten,Player1,0.6,0.0,13.9,9.1,0.0,0
855,Session,Player1,3.1,47.2,68.1,75.8,51.3,0
